Timestamp,Src_IP,Dst_IP,Src_Port,Dst_Port,Protocol,Packet_Size,TTL,Flags,Attack_Type
1743393993.7154372,192.168.246.25,3.232.23.116,61974,443,6,54,64,A,Normal
1743393993.846157,176.63.25.233,192.168.246.25,51485,51413,17,310,112,N/A,Normal
1743393993.856331,192.168.246.25,5.79.83.114,51413,28013,17,100,64,N/A,Normal
1743393993.8622332,192.168.246.25,195.154.170.6,51413,8666,17,100,64,N/A,Normal
1743393993.867476,192.168.246.25,72.21.17.37,51413,24475,17,100,64,N/A,Normal
1743393993.872457,192.168.246.25,130.239.18.158,51413,8647,17,100,64,N/A,Normal
1743393993.880648,192.168.246.25,45.33.63.7,51413,52323,17,100,64,N/A,Normal
1743393993.8947022,192.168.246.25,23.158.56.120,51413,14021,17,100,64,N/A,Normal
1743393993.8972118,192.168.246.25,86.101.251.55,51413,51413,17,100,64,N/A,Normal
1743393994.0423381,3.232.23.116,192.168.246.25,443,61974,6,66,239,A,Normal
1743393994.094719,195.154.170.6,192.168.246.25,8666,51413,17,100,48,N/A,Normal
1743393994.1121259,23.158.56.120,192.168.246.25,14021,51413,17,91,50,N/A,Normal
1743393994.116051,5.79.83.114,192.168.246.25,28013,51413,17,100,50,N/A,Normal
1743393994.1470861,86.101.251.55,192.168.246.25,51413,51413,17,91,45,N/A,Normal
1743393994.1688619,130.239.18.158,192.168.246.25,8647,51413,17,100,29,N/A,Normal
1743393994.214835,72.21.17.37,192.168.246.25,24475,51413,17,100,31,N/A,Normal
1743393994.2209148,45.33.63.7,192.168.246.25,52323,51413,17,91,38,N/A,Normal
1743393994.732113,192.168.246.25,192.168.246.48,58048,8009,6,176,64,PA,Normal
1743393994.740891,192.168.246.48,192.168.246.25,8009,58048,6,176,64,PA,Normal
1743393994.743517,192.168.246.25,192.168.246.48,58048,8009,6,66,64,A,Normal
1743393994.753818,192.168.246.48,192.168.246.25,8009,58048,6,66,64,A,Normal
1743393994.7630541,192.168.246.25,192.168.246.48,58048,8009,6,66,64,A,Normal
1743393995.97454,192.168.246.25,142.250.196.174,50186,443,17,1292,64,N/A,Normal
1743393995.976855,192.168.246.25,142.250.196.174,50186,443,17,1292,64,N/A,Normal
1743393995.9791129,192.168.246.25,142.250.196.174,50186,443,17,124,64,N/A,Normal
1743393996.082567,142.250.196.174,192.168.246.25,443,50186,17,82,58,N/A,Normal
1743393996.0864,142.250.196.174,192.168.246.25,443,50186,17,1292,58,N/A,Normal
1743393996.120266,142.250.196.174,192.168.246.25,443,50186,17,1292,58,N/A,Normal
1743393996.122713,142.250.196.174,192.168.246.25,443,50186,17,348,58,N/A,Normal
1743393996.127622,142.250.196.174,192.168.246.25,443,50186,17,986,58,N/A,Normal
1743393996.130659,142.250.196.174,192.168.246.25,443,50186,17,66,58,N/A,Normal
1743393996.135335,142.250.196.174,192.168.246.25,443,50186,17,73,58,N/A,Normal
1743393996.139416,192.168.246.25,142.250.196.174,50186,443,17,120,64,N/A,Normal
1743393996.144625,192.168.246.25,142.250.196.174,50186,443,17,73,64,N/A,Normal
1743393996.148711,192.168.246.25,142.250.196.174,50186,443,17,1288,64,N/A,Normal
1743393996.151798,192.168.246.25,142.250.196.174,50186,443,17,1271,64,N/A,Normal
1743393996.217576,142.250.196.174,192.168.246.25,443,50186,17,162,58,N/A,Normal
1743393996.229058,142.250.196.174,192.168.246.25,443,50186,17,71,58,N/A,Normal
1743393996.232182,142.250.196.174,192.168.246.25,443,50186,17,67,58,N/A,Normal
1743393996.2356858,192.168.246.25,142.250.196.174,50186,443,17,73,64,N/A,Normal
1743393996.349152,142.250.196.174,192.168.246.25,443,50186,17,850,58,N/A,Normal
1743393996.35226,142.250.196.174,192.168.246.25,443,50186,17,222,58,N/A,Normal
1743393996.362887,192.168.246.25,142.250.196.174,50186,443,17,77,64,N/A,Normal
1743393996.466144,142.250.196.174,192.168.246.25,443,50186,17,66,58,N/A,Normal
1743393998.80965,192.168.246.210,192.168.246.50,80,3743,6,58,64,SA,Normal
1743393998.813107,192.168.246.210,192.168.246.50,80,33046,6,58,64,SA,Normal
1743393999.221266,192.168.246.50,192.168.246.210,3743,80,6,54,64,R,Normal
1743393999.223424,192.168.246.50,192.168.246.210,33046,80,6,54,64,R,Normal
1743393999.743086,192.168.246.25,192.168.246.48,58048,8009,6,176,64,PA,Normal
1743393999.747221,192.168.246.48,192.168.246.25,8009,58048,6,176,64,PA,Normal
1743393999.750367,192.168.246.25,192.168.246.48,58048,8009,6,66,64,A,Normal
1743394001.2999492,192.168.246.25,34.237.73.95,58172,443,6,307,64,PA,Normal
1743394001.679223,34.237.73.95,192.168.246.25,443,58172,6,328,110,PA,Normal
1743394001.681532,192.168.246.25,34.237.73.95,58172,443,6,66,64,A,Normal
1743394002.240385,192.168.246.25,35.186.224.24,58649,443,17,1172,64,N/A,Normal
1743394002.408448,35.186.224.24,192.168.246.25,443,58649,17,70,44,N/A,Normal
1743394002.4371572,192.168.246.25,35.186.224.24,58649,443,17,74,64,N/A,Normal
1743394002.530015,35.186.224.24,192.168.246.25,443,58649,17,106,44,N/A,Normal
1743394002.558793,192.168.246.25,35.186.224.24,58649,443,17,78,64,N/A,Normal
1743394002.691403,35.186.224.24,192.168.246.25,443,58649,17,66,44,N/A,Normal
1743394003.712492,192.168.246.25,35.175.37.144,58216,443,6,54,64,A,Normal
1743394004.1371799,35.175.37.144,192.168.246.25,443,58216,6,66,239,A,Normal
1743394004.749398,192.168.246.25,192.168.246.48,58048,8009,6,176,64,PA,Normal
1743394004.754972,192.168.246.48,192.168.246.25,8009,58048,6,176,64,PA,Normal
1743394004.7714229,192.168.246.25,192.168.246.48,58048,8009,6,66,64,A,Normal
1743394006.810668,192.168.246.210,192.168.246.50,80,33217,6,58,64,SA,Normal
1743394006.88542,192.168.246.25,3.232.23.116,61968,443,6,54,64,A,Normal
1743394007.0062752,192.168.246.50,192.168.246.210,33217,80,6,54,64,R,Normal
1743394007.4069471,192.168.246.25,212.32.207.125,51413,2057,17,136,64,N/A,Normal
1743394007.4107,3.232.23.116,192.168.246.25,443,61968,6,66,239,A,Normal
1743394007.823151,212.32.207.125,192.168.246.25,2057,51413,17,331,111,N/A,Normal
1743394007.8555598,192.168.246.25,95.24.116.237,51413,16566,17,100,64,N/A,Normal
1743394008.132884,95.24.116.237,192.168.246.25,16566,51413,17,121,111,N/A,Normal
1743394009.302352,192.168.246.25,54.191.64.170,58195,443,6,101,64,PA,Normal
1743394009.666187,54.191.64.170,192.168.246.25,443,58195,6,97,240,PA,Normal
1743394009.669787,192.168.246.25,54.191.64.170,58195,443,6,66,64,A,Normal
1743394009.75679,192.168.246.25,192.168.246.48,58048,8009,6,176,64,PA,Normal
1743394009.76151,192.168.246.48,192.168.246.25,8009,58048,6,176,64,PA,Normal
1743394009.7708318,192.168.246.25,192.168.246.48,58048,8009,6,66,64,A,Normal
1743394010.3054478,192.168.246.25,142.250.196.174,59592,443,17,1292,64,N/A,Normal
1743394010.309574,192.168.246.25,142.250.196.174,59592,443,17,1292,64,N/A,Normal
1743394010.316111,192.168.246.25,142.250.196.174,59592,443,17,120,64,N/A,Normal
1743394010.320848,192.168.246.25,142.250.196.174,59592,443,17,1288,64,N/A,Normal
1743394010.324657,192.168.246.25,142.250.196.174,59592,443,17,1292,64,N/A,Normal
1743394010.328753,192.168.246.25,142.250.196.174,59592,443,17,1292,64,N/A,Normal
1743394010.340136,192.168.246.25,142.250.196.174,59592,443,17,669,64,N/A,Normal
1743394010.342399,192.168.246.25,142.250.196.174,59592,443,17,128,64,N/A,Normal
1743394010.401966,192.168.246.25,192.168.246.255,57621,57621,17,86,64,N/A,Normal
1743394010.413032,142.250.196.174,192.168.246.25,443,59592,17,82,58,N/A,Normal
1743394010.423827,142.250.196.174,192.168.246.25,443,59592,17,1292,58,N/A,Normal
1743394010.465266,142.250.196.174,192.168.246.25,443,59592,17,1292,58,N/A,Normal
1743394010.470985,142.250.196.174,192.168.246.25,443,59592,17,349,58,N/A,Normal
